state_name,year,no_capital_punishment,no_life_imprisonment,no_executed
Uttar Pradesh,2009,57,21,false
Uttar Pradesh,2005,51,117,false
Uttar Pradesh,2011,47,4,false
Uttar Pradesh,2003,35,18,false
Uttar Pradesh,2002,34,45,false
Uttar Pradesh,2004,33,82,false
Uttar Pradesh,2007,30,8,false
Maharashtra,2007,29,0,false
Bihar,2003,25,73,false
Bihar,2008,25,21,false
Uttar Pradesh,2010,25,12,false
Uttar Pradesh,2012,25,14,false
Tamil Nadu,2002,24,6,false
Uttar Pradesh,2006,24,26,false
West Bengal,2005,24,2,false
Karnataka,2008,22,2,false
Madhya Pradesh,2007,22,0,false
Tamil Nadu,2003,22,6,false
Madhya Pradesh,2013,22,1,false
Jharkhand,2005,21,132,false
Bihar,2002,20,89,false
Maharashtra,2006,20,0,false
Gujarat,2004,19,0,false
Karnataka,2010,19,0,false
Uttar Pradesh,2001,19,120,false
Bihar,2013,19,22,false
Madhya Pradesh,2008,17,10,false
Bihar,2004,16,6,false
Tamil Nadu,2001,16,1,false
Jharkhand,2004,15,44,false
Maharashtra,2009,15,4,false
Uttar Pradesh,2008,15,5,false
Bihar,2007,14,8,false
Gujarat,2011,14,1,false
Karnataka,2005,14,0,false
Karnataka,2007,14,0,false
Maharashtra,2003,14,12,false
Orissa,2007,14,14,false
Tamil Nadu,2007,14,0,false
Bihar,2001,13,50,false
Karnataka,2006,13,0,false
Maharashtra,2002,13,126,false
Maharashtra,2013,13,16,false
Bihar,2012,12,4,false
Maharashtra,2008,12,1,false
West Bengal,2010,12,7,false
Jharkhand,2009,11,10,false
Kerala,2003,11,1,false
Madhya Pradesh,2005,11,11,false
Punjab,2001,11,24,false
Rajasthan,2003,11,3,false
Uttaranchal,2006,11,22,false
Chhattisgarh,2013,11,3,false
Uttar Pradesh,2013,11,14,false
Delhi,2013,11,5,true
Tamil Nadu,2006,10,0,false
West Bengal,2009,10,17,false
Delhi,2006,10,806,false
Delhi,2010,10,1,false
Jammu & Kashmir,2011,9,1,false
Madhya Pradesh,2006,9,0,false
Delhi,2005,9,919,false
Delhi,2007,9,726,false
Delhi,2012,9,3,false
Jharkhand,2013,9,1,false
Assam,2005,8,0,false
Gujarat,2005,8,0,false
Gujarat,2009,8,1,false
Haryana,2001,8,2,false
Jharkhand,2006,8,8,false
Jharkhand,2010,8,8,false
Karnataka,2012,8,1,false
Punjab,2011,8,0,false
Tamil Nadu,2005,8,0,false
West Bengal,2008,8,1,false
Delhi,2002,8,2,false
Delhi,2011,8,1,false
Chhattisgarh,2007,7,1,false
Karnataka,2004,7,0,false
Madhya Pradesh,2012,7,5,false
Maharashtra,2001,7,1,false
Orissa,2006,7,1,false
Delhi,2004,7,0,false
Haryana,2013,7,2,false
Assam,2012,6,0,false
Bihar,2006,6,27,false
Jharkhand,2008,6,1,false
Jharkhand,2011,6,4,false
Madhya Pradesh,2004,6,3,false
Rajasthan,2005,6,1,false
Rajasthan,2006,6,4,false
West Bengal,2001,6,2,false
West Bengal,2007,6,0,false
West Bengal,2011,6,13,false
Bihar,2009,5,20,false
Chhattisgarh,2002,5,0,false
Gujarat,2003,5,0,false
Haryana,2009,5,2,false
Karnataka,2009,5,0,false
Kerala,2007,5,0,false
Kerala,2009,5,0,false
Orissa,2001,5,53,false
Orissa,2004,5,0,false
Delhi,2003,5,3,false
Bihar,2010,4,12,false
Haryana,2011,4,0,false
Jammu & Kashmir,2001,4,1,false
Jharkhand,2002,4,1,false
Kerala,2005,4,9,false
Madhya Pradesh,2001,4,3,false
Madhya Pradesh,2002,4,17,false
Madhya Pradesh,2003,4,1,false
Madhya Pradesh,2010,4,2,false
Madhya Pradesh,2011,4,0,false
Maharashtra,2004,4,16,false
Maharashtra,2005,4,2,false
Maharashtra,2010,4,11,false
Maharashtra,2012,4,0,true
Rajasthan,2010,4,0,false
Tamil Nadu,2009,4,8,false
Tamil Nadu,2010,4,1,false
Daman & Diu,2002,4,0,false
Karnataka,2013,4,21,false
Andhra Pradesh,2002,3,1,false
Andhra Pradesh,2011,3,0,false
Assam,2001,3,2,false
Gujarat,2001,3,1,false
Gujarat,2012,3,2,false
Haryana,2003,3,0,false
Haryana,2004,3,3,false
Haryana,2007,3,2,false
Haryana,2008,3,2,false
Haryana,2012,3,7,false
Jammu & Kashmir,2007,3,0,false
Jammu & Kashmir,2009,3,0,false
Kerala,2006,3,1,false
Kerala,2008,3,0,false
Kerala,2012,3,0,false
Maharashtra,2011,3,2,false
Meghalaya,2007,3,0,false
Meghalaya,2008,3,0,false
Punjab,2012,3,1,false
