"","population_ysw.Group.1","population_ysw.Group.2","population_ysw.x","budget_ysw.x","inmate_expenditure_ysw.x","expenditure_ysw.x","deaths_ysw.x","escapes_ysw.x","movement_ysw.x","recidivism_ysw.x","as.numeric.voc_df.x.","rehabilitation_ysw.x","edu_facility_ysw.x"
"1",2001,"A & N Islands",766,3.2e+07,10660000,30576000,0,0,2592,19,130,122.75,102.62
"2",2002,"A & N Islands",662,43552000,15120000,42888000,0,0,2330,19,125,122.75,102.62
"3",2003,"A & N Islands",592,36960000,10220000,36156000,0,0,1349,17,190,0,53
"4",2004,"A & N Islands",442,42800000,11844616,40762000,1,0,1574,15,226,98,131
"5",2005,"A & N Islands",448,45400000,9722000,40810918,2,0,2964,43,106,0,0
"6",2006,"A & N Islands",692,49570000,11536000,47486000,0,0,2964,43,106,138,130
"7",2007,"A & N Islands",826,50400000,14766000,52446000,0,0,2161,28,101,93,122
"8",2008,"A & N Islands",442,98670000,5409490,68255342,0,0,6116,23,102,48,62
"9",2009,"A & N Islands",456,93406000,4768060,89872930,0,0,4808,32,71,72,121
"10",2010,"A & N Islands",1376,117532000,23826856,114052712,1,6,6379,47,108,533,202
"11",2001,"Andhra Pradesh",26180,1457380000,270096000,1428642000,91,56,330271,1063,1498,2683,5213
"12",2002,"Andhra Pradesh",26846,1654556000,2.83e+08,689186000,114,63,332884,318,1235,2021,7595
"13",2003,"Andhra Pradesh",28168,2364480000,268498000,1443782000,115,70,216460,536,112,2126,9608
"14",2004,"Andhra Pradesh",27762,1867356000,319641484,1737416000,126,66,263299,399,1131,909,14498
"15",2005,"Andhra Pradesh",29226,1858394000,306876000,1666154000,131,72,224268,977,1915,2546,15072
"16",2006,"Andhra Pradesh",30842,1991378000,451500400,1452754800,123,100,221922,3625,743,3554,26183
"17",2007,"Andhra Pradesh",30090,2345512000,627918000,1501700000,111,85,267123,1267,2024,3071,31667
"18",2008,"Andhra Pradesh",28160,1909880000,1071556320,2058257400,137,79,259147,1231,1837,1967,21977
"19",2009,"Andhra Pradesh",25616,2267912000,705710200,1879840200,118,76,251101,898,3903,3548,22587
"20",2010,"Andhra Pradesh",24980,2537534000,749544000,2448752000,90,84,251185,1094,3977,3673,15990
"21",2009,"Arunachal Pradesh",124,85844000,3545332,69997788,0,0,49,0,0,0,0
"22",2010,"Arunachal Pradesh",114,87550000,2649102,82157488,0,0,248,0,0,2,0
"23",2001,"Assam",12970,358120000,103400000,284830000,23,10,61469,25,182,10,1102
