"","rehabilitation_ysw.x","edu_facility_ysw.x"
"1",122.75,102.62
"2",122.75,102.62
"3",0,53
"4",98,131
"5",0,0
"6",138,130
"7",93,122
"8",48,62
"9",72,121
"10",533,202
"11",2683,5213
"12",2021,7595
"13",2126,9608
"14",909,14498
"15",2546,15072
"16",3554,26183
"17",3071,31667
"18",1967,21977
"19",3548,22587
"20",3673,15990
"21",0,0
"22",2,0
"23",10,1102
"24",88,746
"25",30,2291
"26",18,1360
"27",25,1562
"28",0,1301
"29",36,2043
"30",32,2613
"31",113,2515
"32",138,1656
"33",0,0
"34",378,1631
"35",0,1421
"36",537,1193
"37",760,1187
"38",204,831
"39",0,606
"40",0,865
"41",106,9083
"42",132,9742
"43",35,37
"44",125,89
"45",215,124
"46",189,0
"47",243,22
"48",0,37
"49",326,71
"50",412,95
"51",512,106
"52",714,106
"53",169,880
"54",443,830
"55",0,980
"56",0,1164
"57",551,1647
"58",474,2014
"59",833,1402
"60",996,2036
"61",323,2272
"62",1654,2697
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",18,0
"71",0,0
"72",36,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",1083,19562
"84",1366,23235
"85",1968,4491
"86",1818,5585
"87",1728,4739
"88",2189,3624
"89",2651,2858
"90",2793,2853
"91",2563,2514
"92",2081,2175
"93",0,0
"94",61,0
"95",45,10
"96",15,10
"97",97,17
"98",103,62
"99",47,11
"100",51,12
"101",0,35
"102",366,40
"103",3413,739
"104",2263,1920
"105",473,556
"106",545,1161
"107",680,1469
"108",830,2250
"109",18,2431
"110",485,7
"111",399,2190
"112",1077,4643
"113",1575,425
"114",674,271
"115",788,356
"116",761,242
"117",0,0
"118",900,584
"119",1584,511
"120",1038,910
"121",1619,1573
"122",1796,1302
"123",0,0
"124",27,15
"125",34,0
"126",57,0
"127",57,0
"128",74,0
"129",93,24
"130",98,0
"131",175,0
"132",255,14
"133",97,383
"134",15,357
"135",17,641
"136",28,683
"137",0,457
"138",0,525
"139",15,533
"140",13,421
"141",7,402
"142",26,915
"143",94,778
"144",293,726
"145",471,3683
"146",1193,3170
"147",571,2911
"148",1322,4493
"149",1676,4544
"150",1289,6583
"151",1345,7689
"152",1548,7531
"153",0,390
"154",0,509
"155",31,714
"156",1143,763
"157",241,895
"158",627,1108
"159",329,1485
"160",74,1631
"161",94,1422
"162",126,1793
"163",215,225
"164",284,193
"165",901,179
"166",908,199
"167",0,0
"168",330,74
"169",245,155
"170",245,870
"171",290,870
"172",325,1100
"173",0,0
"174",0,0
"175",0,0
"176",0,0
"177",0,0
"178",0,0
"179",0,0
"180",0,0
"181",0,0
"182",0,0
"183",0,4501
"184",1586,5160
"185",1908,6403
"186",2309,6862
"187",3638,8810
"188",3795,11437
"189",4246,10722
"190",696,8409
"191",3691,8005
"192",3552,9709
"193",243,3535
"194",809,2814
"195",882,3187
"196",433,2945
"197",301,2783
"198",957,6890
"199",1847,5116
"200",3989,3767
"201",3878,3848
"202",2890,4451
"203",0,106
"204",0,18
"205",0,0
"206",0,0
"207",0,0
"208",0,0
"209",0,17
"210",0,17
"211",0,4
"212",0,3
"213",0,0
"214",0,0
"215",0,0
"216",15,0
"217",10,40
"218",50,42
"219",110,15
"220",174,20
"221",82,0
"222",141,0
"223",685,131
"224",850,135
"225",2120,53
"226",2055,24
"227",1155,109
"228",2365,35
"229",2162,30
"230",0,17
"231",0,4
"232",353,65
"233",0,0
"234",0,0
"235",0,0
"236",0,0
"237",0,0
"238",0,0
"239",0,0
"240",0,0
"241",0,0
"242",0,0
"243",295,1523
"244",85,1092
"245",97,1049
"246",1989,1218
"247",896,2152
"248",183,1351
"249",399,1044
"250",663,1487
"251",85,1126
"252",743,1677
"253",186,10
"254",193,8
"255",242,10
"256",288,10
"257",359,10
"258",129,10
"259",58,7
"260",46,2
"261",31,2
"262",16,0
"263",407,539
"264",425,496
"265",411,487
"266",426,177
"267",375,176
"268",398,453
"269",363,476
"270",375,1086
"271",2123,956
"272",2145,988
"273",391,4276
"274",499,1831
"275",593,1939
"276",432,1211
"277",524,1439
"278",198,1220
"279",313,826
"280",189,1054
"281",221,1023
"282",178,1372
"283",205,11
"284",90,8
"285",102,0
"286",82,1
"287",122,0
"288",145,0
"289",261,62
"290",181,74
"291",143,92
"292",254,70
"293",1334,14425
"294",3129,10928
"295",3227,11130
"296",4666,4793
"297",4407,10038
"298",4543,10057
"299",4303,4102
"300",2165,13067
"301",4916,11782
"302",5845,13345
"303",0,1051
"304",0,775
"305",0,748
"306",16,176
"307",57,286
"308",15,269
"309",61,81
"310",0,242
"311",0,200
"312",0,195
"313",1488,24662
"314",2309,20595
"315",3536,21035
"316",309,4853
"317",1983,15410
"318",2896,14588
"319",2572,19340
"320",2158,19344
"321",1625,16428
"322",1607,16069
"323",150,543
"324",180,476
"325",36,230
"326",39,240
"327",109,513
"328",104,639
"329",260,437
"330",254,437
"331",199,1000
"332",102,777
"333",256,807
"334",226,676
"335",251,696
"336",635,580
"337",627,633
"338",2949,10752
"339",2129,3740
"340",3739,4879
"341",3086,2326
"342",3202,3793
