"","population_ysw.Group.1","population_ysw.Group.2","population_ysw.x","budget_ysw.x","inmate_expenditure_ysw.x","expenditure_ysw.x","deaths_ysw.x","escapes_ysw.x","movement_ysw.x","recidivism_ysw.x","as.numeric.voc_df.x.","rehabilitation_ysw.x","edu_facility_ysw.x"
"1",2001,"A & N Islands",0.346895074946467,0,0.309145446543423,0,0,0,0.247117296222664,0.125,0.380645161290323,0.230300187617261,0.508019801980198
"2",2002,"A & N Islands",0.235546038543897,0.135060562128794,0.543158130240756,0.147490236558431,0,0,0.195029821073559,0.125,0.348387096774194,0.230300187617261,0.508019801980198
"3",2003,"A & N Islands",0.160599571734475,0.0579899920497592,0.286058993443237,0.06684499025309,0,0,0,0.0625,0.767741935483871,0,0.262376237623762
"4",2004,"A & N Islands",0,0.126268531076088,0.371301314101898,0.122022055684225,0.5,0,0.0447316103379722,0,1,0.183864915572233,0.648514851485149
"5",2005,"A & N Islands",0.00642398286937901,0.156666510779591,0.259929326070755,0.12260806343211,1,0,0.321073558648111,0.875,0.225806451612903,0,0
"6",2006,"A & N Islands",0.267665952890792,0.205420193611748,0.355108475897428,0.202571466878092,0,0,0.321073558648111,0.875,0.225806451612903,0.25891181988743,0.643564356435644
"7",2007,"A & N Islands",0.411134903640257,0.215124164055558,0.524584029337425,0.261989235991949,0,0,0.161431411530815,0.40625,0.193548387096774,0.174484052532833,0.603960396039604
"8",2008,"A & N Islands",0,0.779474348781742,0.033655326391027,0.451375492604452,0,0,0.947713717693837,0.25,0.2,0.0900562851782364,0.306930693069307
"9",2009,"A & N Islands",0.0149892933618844,0.717930131412805,0,0.710340987076731,0,0,0.687673956262425,0.53125,0,0.135084427767355,0.599009900990099
"10",2010,"A & N Islands",1,1,1,1,0.5,1,1,1,0.238709677419355,1,1
"11",2001,"Andhra Pradesh",0.204708290685773,0,0.00198989283866706,0.42024908414916,0.0212765957446809,0,0.977556173984745,0.225279709706683,0.358602846054334,0.641823444283647,0
"12",2002,"Andhra Pradesh",0.318321392016377,0.182544340899538,0.0180584642968396,0,0.51063829787234,0.159090909090909,1,0,0.290556274256145,0.402315484804631,0.0900430936720345
"13",2003,"Andhra Pradesh",0.543841692255203,0.839787659907754,0,0.428853478641892,0.531914893617021,0.318181818181818,0,0.0659207741155125,0,0.440303907380608,0.16613744613291
"14",2004,"Andhra Pradesh",0.474582053906517,0.379553285920341,0.063685890210315,0.595732129400091,0.765957446808511,0.227272727272727,0.402313955885384,0.0244934986392501,0.263648124191462,0,0.350986618280789
"15",2005,"Andhra Pradesh",0.724326168543159,0.371256320857952,0.0477898043569239,0.55523236980028,0.872340425531915,0.363636363636364,0.0670652099223528,0.199274266706985,0.466494178525226,0.592257597684515,0.372684660164814
"16",2006,"Andhra Pradesh",1,0.49437209879332,0.22788183054999,0.433952917935445,0.702127659574468,1,0.0469147254861541,1,0.163260025873221,0.956946454413893,0.792696756634157
"17",2007,"Andhra Pradesh",0.871716137836916,0.822227200936163,0.447564007555516,0.461769549991305,0.446808510638298,0.659090909090909,0.435159417302274,0.286967039612942,0.494695989650711,0.782199710564399,1
"18",2008,"Andhra Pradesh",0.542476970317298,0.418921746343577,1,0.778073343085738,1,0.522727272727273,0.36665120593692,0.27608104021772,0.446313065976714,0.382778581765557,0.633703787706963
"19",2009,"Andhra Pradesh",0.10849539406346,0.750385593165419,0.544433933515563,0.676674930067983,0.595744680851064,0.454545454545455,0.297541743970315,0.175385545811914,0.980853816300129,0.954775687409551,0.656762682392077
"20",2010,"Andhra Pradesh",0,1,0.599017515938319,1,0,0.636363636363636,0.298263244691816,0.234653764741458,1,1,0.407386406592576
"21",2009,"Arunachal Pradesh",1,0,1,0,0,0,0,0,0,0,0
"22",2010,"Arunachal Pradesh",0,1,0,1,0,0,1,0,0,1,0
"23",2001,"Assam",0,0,0,0.192086631480364,0,0,0.390422200751976,0.0489296636085627,0,0.072463768115942,0.190680235672201
"24",2002,"Assam",0.257864421798848,0.0134797444527896,0.0938728396889075,0.233026886667522,0.388888888888889,0.2,0.533181230865936,0.0305810397553517,0.137931034482759,0.63768115942029,0
"25",2003,"Assam",0.510412051395658,0.245614157092919,0.196541181539025,0.362092174278685,0.388888888888889,0.08,0.3821690898297,0.0886850152905199,0.177339901477833,0.217391304347826,0.827530798071773
"26",2004,"Assam",0.595037660611431,0.62661455580591,0.389311204499695,0.317372986639945,0,0.24,1,1,0.216748768472906,0.130434782608696,0.328869844670595
"27",2005,"Assam",0.89853788214444,0.565432974491641,0.455579163395042,0.461999066188657,0.444444444444444,1,0.563260269826673,0.54434250764526,0.463054187192118,0.181159420289855,0.437064809855383
"28",2006,"Assam",0.909614532565352,0.64908852355652,0.580294278472468,0,0.333333333333333,0.12,0.403180183221391,0.0886850152905199,0.886699507389163,0,0.297268344938404
"29",2007,"Assam",0.983606557377049,0.48375476369301,0.719699506658195,0.669638298279002,0.722222222222222,0.28,0.0826358736773488,0.143730886850153,0.733990147783251,0.260869565217391,0.694697375468666
"30",2008,"Assam",1,0.726809739723868,0.718504339477978,1,1,0,0.152164550036668,0.168195718654434,1,0.231884057971014,1
"31",2009,"Assam",0.742135578201152,0.700369504946823,0.802920273808856,0.934513066532693,0.833333333333333,0.04,0,0.55045871559633,0.630541871921182,0.818840579710145,0.947509373326192
"32",2010,"Assam",0.636685866194063,1,1,0.858177776382218,0.166666666666667,0.2,0.00934731744793789,0,0.467980295566502,1,0.487412961971077
"33",2001,"Bihar",0.385097406626132,0,0.0504373781615665,0,0.436842105263158,0.284313725490196,0.764608971318739,0.522075557578516,0.364958603714478,0,0
"34",2002,"Bihar",0.471522521404641,0.0222511478076606,0.177666297367511,0.350960727167417,0.615789473684211,0.970588235294118,0,0.0919435593991807,0,0.497368421052632,0.167419421063437
"35",2003,"Bihar",0.47294949745626,0.0174117606138764,0.186770398103284,0.356729833965277,0,0,0.045217709659436,0.0910332271279017,0.304542403222197,0,0.145863272428659
"36",2004,"Bihar",0.209269140091823,0.0553117341260073,0,0.388058976910286,0.536842105263158,1,0.783333749365551,1,0.030431863951667,0.706578947368421,0.122459453910901
"37",2005,"Bihar",1,0.0696263070024294,0.102241460574385,0.417239939213801,1,0.950980392156863,1,0.119253527537551,1,1,0.121843563949908
"38",2006,"Bihar",0.904640774289614,0.138035911129186,0.304085296883405,0.313735842965711,0.910526315789474,0.450980392156863,0.730214755830692,0.082385070550751,0.861266502573283,0.268421052631579,0.0853007595976186
"39",2007,"Bihar",0.616577739173595,0.42462896916705,0.646824155558606,0.600299938436143,0.857894736842105,0.401960784313726,0.803316608838188,0.0728265817023213,0.757887670619825,0,0.0622048860603572
"40",2008,"Bihar",0.496897878148654,1,0.41288376386861,1,0.742105263157895,0.57843137254902,0.646147957697844,0.0619025944469731,0.19310807786977,0,0.0887908027099158
"41",2009,"Bihar",0.248852214915002,0.454338525669153,1,0.649778123240055,0.58421052631579,0.549019607843137,0.630480184385479,0.00682749203459263,0.122622510628776,0.139473684210526,0.932354752617532
"42",2010,"Bihar",0,0.52106420365158,0.840593045488647,0.707199247040851,0.452631578947368,0.215686274509804,0.62644467187539,0,0.195569478630566,0.173684210526316,1
"43",2001,"Chandigarh",0,0,0.224740310140661,0,0.4,0.125,0.185368697172836,0.1,0.596273291925466,0.0490196078431373,0.298387096774194
"44",2002,"Chandigarh",0.138248847926267,0.0446097484698208,0.329840673104765,0.0382777847939932,0.8,0.5,0.435441562226756,0.0333333333333333,0.428571428571429,0.175070028011204,0.717741935483871
"45",2003,"Chandigarh",0.456221198156682,0.0624804539159183,0.35611576384579,0.0630895486557449,0.4,0.25,0.495482366656951,0.15,0.807453416149068,0.301120448179272,1
"46",2004,"Chandigarh",0.566820276497696,0.113858732073449,0.0531639676017621,0.0406461804353422,0.6,1,0.498979889245118,0.0166666666666667,0,0.264705882352941,0
